"período";"yungas";"parque_chaqueño";"espinal";"selva_paranaense";"bosque_andino_patagónico";"monte"
"1998-2002";"0.33";"0.61";"0.53";"1.48";"";""
"2003-2006";"0.35";"0.9";"0.21";"1.41";"";""
"2007";"0.37";"1.09";"0.51";"0.76";"";""
"2008-2011";"0.19";"0.93";"0.42";"0.48";"";""
"2012-2013";"0.15";"0.86";"0.25";"0.19";"";""
"2014";"0.10";"0.42";"0.22";"0.06";"0.34";""
"2015";"0.04";"0.41";"0.21";"0.08";"0.34";""
"2016";"0.01";"0.45";"0.14";"0.08";"0.34";"0.12"
"2017";"0.04";"0.42";"0.40";"0.26";"0.34";"0.16"
"2018";"0.02";"0.38";"0.82";"0.12";"0.01";"0.38"
"2019";"0.04";"0.31";"0.50";"0.23";"0.04";"0.23"
"2020";"1.58";"0.74";"0.33";"0.47";"0.04";"0.13"
"2021";"0.16";"0.47";"0.25";"0.25";"0.68";"0.38"
"2022";"0.10";"0.53";"0.00";"0.19";"0.12";"0.14"
"2023";"0.03";"0.49";"0.11";"0.14";"0.27";"0.13"
